Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Spent Days,Project Status,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Schedule Status,Cost Variance ($ M),Financial Status,Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
014-000000019,744,14,Department of State,Electronic Medical Record (EMR),2942,,EHR,"Establish a single authoritative source of information that is readily retrievable for: patient care, medevac and hospitalizations, clearance, record release, program planning and management and immunization tracking.",2010-10-02T00:00:00Z,2014-09-30T00:00:00Z,1459,Completed,,,14803.494,0,0,Balanced schedule,0,Balanced budget,0,7.16,7.16,2012-08-31T00:00:00Z,9:03:42,1
014-000000039,1130,14,Department of State,Application Services,2951,,DoSSS (Sharepoint),Enterprise Hosting of Sharepoint for the Department.,2008-02-25T00:00:00Z,2017-09-30T00:00:00Z,3504,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,63.106,0,0,Balanced schedule,-0.035455,Under budget,-0.5,7.162065,7.19752,2012-08-31T00:00:00Z,8:56:53,1
014-000000039,1130,14,Department of State,Application Services,2954,,eCountry Clearance,A web-based application that manages permission requests for travel to US overseas posts.,2007-02-27T00:00:00Z,2017-09-30T00:00:00Z,3867,Processing,2012-08-10T00:00:00Z,2012-09-30T00:00:00Z,3.611,8,2.14,Excess schedule,0,Balanced budget,0,0.7525,0.7525,2012-08-31T00:00:00Z,8:56:53,4
014-000000039,1130,14,Department of State,Application Services,2956,,Enterprise Data Warehouse (EDW),Combines information from different transactional systems across the Department to support analysis for senior management decision making.,2008-09-29T00:00:00Z,2017-09-30T00:00:00Z,3288,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,43.979,0,0,Balanced schedule,-1.68486,Under budget,-82.83,2.03414,3.719,2012-08-31T00:00:00Z,8:56:53,6
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2957,,ESOC,Operations and Maintenance of the ESOCs.,2003-01-10T00:00:00Z,2017-09-30T00:00:00Z,5376,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,35.603,0,0,Balanced schedule,0,Balanced budget,0,35.602873,35.602873,2012-03-30T00:00:00Z,9:40:06,1
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2958,,Compensation Support,Payroll Systems for FTEs.,2006-01-10T00:00:00Z,2017-09-30T00:00:00Z,4280,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,6.63,0,0,Balanced schedule,0,Balanced budget,0,6.63,6.63,2012-03-30T00:00:00Z,9:40:06,2
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2959,,BEC,IRM Business Engagement Center.,2008-01-10T00:00:00Z,2017-09-30T00:00:00Z,3550,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.607,0,0,Balanced schedule,0,Balanced budget,0,1.607,1.607,2012-05-30T00:00:00Z,5:43:48,3
014-000000026,1131,14,Department of State,Data Center Services and Hosting,2960,,Systems Integration Office (SIO),Systems Integration Office.,2007-01-10T00:00:00Z,2017-09-30T00:00:00Z,3915,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.02,0,0,Balanced schedule,0,Balanced budget,0,1.02,1.02,2012-05-30T00:00:00Z,5:43:48,4
014-000000032,1132,14,Department of State,Consular Systems Modernization,2964,,Pre-IVO-Technology (piVot),"The purpose of this initiative is to provide domestic visa facilities a set of enterprise services supporting paper-less IV processing. As a result of this initiative, CST will be able to retire IVIS & DVIS systems at NVC & KCC, and will provide Consular workers with streamlined tools to more efficiently process visa appications.",2011-07-10T00:00:00Z,2012-12-31T00:00:00Z,540,Completed,,,2.443,0,0,Balanced schedule,-0.050892,Under budget,-2.65,1.921221,1.972113,2012-08-31T00:00:00Z,8:58:36,1
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2965,,Contingency INMARSAT Refresh,"Procure and Deploy upgraded small, medium, and large scale &quot;Fly Away&quot; emergency communications packages, providing capabiliites anywhere from basic Internet and voice to large scale OpenNet and ClassNet connectivity. Support Major Events.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,5461,0,0,Balanced schedule,0,Balanced budget,0,5.461,5.461,2012-08-31T00:00:00Z,9:02:02,1
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2966,,Global IT Modernization PMA,"Centrally managed modernization, procurement, and deployment of the Department's Office Automation and support server infrastructure.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,98339,0,0,Balanced schedule,0,Balanced budget,0,98.339,98.339,2012-08-31T00:00:00Z,9:02:02,2
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2967,,Digital Services,LWS Division operations and Global Digital Support services.,2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1522,0,0,Balanced schedule,0,Balanced budget,0,1.522,1.522,2012-08-31T00:00:00Z,9:02:03,3
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2968,,IT Installations (LWS/ITL),Support for IT data infrastucture at Embassies and Missions overseas.,2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1701,0,0,Balanced schedule,0,Balanced budget,0,1.701,1.701,2012-08-31T00:00:00Z,9:02:03,4
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2969,,New Embassy Compound Moves,Relocation of command and control (C2) Circuitry and equipment from old overseas missions to new office buildings.,2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1491,0,0,Balanced schedule,0,Balanced budget,0,1.491,1.491,2012-08-31T00:00:00Z,9:02:03,5
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2970,,Ops Center Telephone Bridge,"Maintains the Operation Center's telephone conference bridge, which supports the Secretary's telephone diplomacy and provides a corporate resource for the entire department.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,,,1122,0,0,Balanced schedule,0,Balanced budget,0,1.122,1.122,2012-08-31T00:00:00Z,9:02:03,6
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2971,,Post Telephones,"Replace the Department's obsolete telephone systems with modern, reliable, digital systems capable of delivering a full range of services.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8104,0,0,Balanced schedule,0,Balanced budget,0,8.104,8.104,2012-08-31T00:00:00Z,9:02:03,7
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2972,,Video Collaboration,"Provides world-wide Secure Video and Data Collaboration (SVDC) over ClassNet, unclassified OpenNet Video and Data Collaboration (ONVDC) and 24 hour staffing of the Video Program Office (VPO) for video-conference management and services.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2978,0,0,Balanced schedule,0,Balanced budget,0,2.978,2.978,2012-08-31T00:00:00Z,9:02:03,8
014-000000044,1133,14,Department of State,"Deployment, Maintenance, and Refresh Services",2973,,Voice Technology,"Provide domestic and worldwide radio communications for VIP, Secretary of State, dignitary protection, and emergency situations. This program is critical for the safety of U.S. personnel, property, equipment, and interests around the world.",2011-01-10T00:00:00Z,2032-09-30T00:00:00Z,7933,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,23363,0,0,Balanced schedule,0,Balanced budget,0,23.363,23.363,2012-08-31T00:00:00Z,9:02:03,9
014-000000034,1134,14,Department of State,Legacy Consular Systems,2974,,American Citizens Services,"The objective of the ACS initiative is to provide Consular officers and CA staff with a suite of specialized applications to support the protection and welfare of American citizens abroad. As a result of this initiative, CA is able to provide outstanding service to US citizens worldwide in areas such as registration of Americans living abroad, passport issuance, recording of births, deaths, arrests, and property accountability. This initiative also allows CA to support changes in legislation, congressional mandates, or emergency requests from the stakeholders in the Bureau of Consular Affairs.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,6.2,0,0,Balanced schedule,-0.194591,Under budget,-3.14,6.2,6.394591,2012-08-31T00:00:00Z,9:14:25,1
014-000000034,1134,14,Department of State,Legacy Consular Systems,"2,975",,Travel Document Systems Support,"The objective of the TDIS-PD initiative is to provide ongoing systems support for domestic passport issuance. As a result of this initiative, CA has been able rapid, secure service in the face of record passport demand - well over 12 million per year. This initiative also allows CA to support changes in legislation, congressional mandates, or emergency requests from the stakeholders in the Bureau of Consular Affairs.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,13,0,0,Balanced schedule,3.570842,Excess budget,27.47,13,9.429158,2012-08-31T00:00:00Z,9:14:25,2811
014-000000034,1134,14,Department of State,Legacy Consular Systems,2976,,Administrative and Management Systems Support  (AMS),"The objective of the AMS initiative is to provide our internal customers with a set of digital tools to manage resources more efficiently. As a result of this initiative, CST leadership have enhanced visibility into business-line activities to ensure resources are managed for peak performance, increasing utilization of resources in key mission delivery and mission support areas.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,5.7,0,0,Balanced schedule,0.090965,Excess budget,1.6,5.7,5.609035,2012-08-31T00:00:00Z,9:14:25,48611
014-000000034,1134,14,Department of State,Legacy Consular Systems,2977,,"Business Intelligence, Analytics and Reporting","The objective of the BI initiative is to provide CST management and stakeholders with Analytics and Reporting services to increase the efficiency and effectiveness of CA's business processes and mission, as well as the government wide effort to appropriately and effectively share information. As a result of this initiative, CST management and stakeholders have access to high-quality data and analytics in the areas of fraud, risk analysis, watch phrase, and global text search.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,12.2,0,0,Balanced schedule,6.392494,Excess budget,52.4,12.2,5.807506,2012-08-31T00:00:00Z,9:14:25,48622
014-000000034,1134,14,Department of State,Legacy Consular Systems,2978,,Intranet/Internet Website Development & Support,"The objective of this initiative is to maintain and provide technical support for informational and public outreach web sites on the Internet. It also includes supporting internal websites on the DoS OpenNet and ClassNet Intranets, and Intelink (previously known as SIPRNET). As a result of this initiative, travelers have access to high-quality Consular information through sites such as travel.state.gov.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8.6,0,0,Balanced schedule,-8.800745,Under budget,-102.33,8.6,17.400745,2012-08-31T00:00:00Z,9:14:25,48633
014-000000034,1134,14,Department of State,Legacy Consular Systems,2979,,Visa Systems Support,"The objective of the Visa Systems Support initiative is to provide on-going maintenance and support for consular automated systems that support the Visa issuance process both domestically and overseas. This includes but is not limited to immigrant/non-immigrant visas. As a result of this initiative, Consular officers around the world have support from systems that allow them to process over seven million non-immigrant visa applications and nearly 700,000 immigrant visa applications per year. This initiative slso allows CA to support changes in legislation, congressional mandates, or emergency requests from the stakeholders in the Bureau of Consular Affairs.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,12.8,0,0,Balanced schedule,1.682639,Excess budget,13.15,12.8,11.117361,2012-08-31T00:00:00Z,9:14:25,48644
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2991,,AIS Security Infrastructure Support Program,Provides technical cyber security operational support to the Department's IT infrastructure.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,31830,0,0,Balanced schedule,0,Balanced budget,0,31.83,31.83,2012-06-28T00:00:00Z,6:34:35,1
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2993,,Communications Security Audit Program,Ensures audits are conducted for each ComSec account.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2058,0,0,Balanced schedule,0,Balanced budget,0,2.058,2.058,2012-05-31T00:00:00Z,7:02:24,3
014-000000048,1136,14,Department of State,Security/Cyber Security Services,"2,994",,Electronic Key Management System,Provides cryptographic keying material and equipment.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,4636,0,0,Balanced schedule,0,Balanced budget,0,4.636,4.636,2012-05-31T00:00:00Z,7:02:24,4
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2995,,In-Line Network Encryption,"Procures, operates, and maintains Type 1 encryption devices required for the Department of State's classified communications.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2802,0,0,Balanced schedule,0,Balanced budget,0,2.802,2.802,2012-05-31T00:00:00Z,7:02:23,5
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2997,,Mainframe System Security Program,"IT security program controlling communication between MSDC, BIMC, KCC and PFSC.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1336,0,0,Balanced schedule,0,Balanced budget,0,1.336,1.336,2012-06-28T00:00:00Z,6:34:35,7
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2998,,Public Key Infrastructure and Biometrics Logical Access Development and Execution Program,"Enables e-commerce, secures Web transactions and network devices, and provides privacy to users.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,9097,0,0,Balanced schedule,0,Balanced budget,0,9.097,9.097,2012-05-31T00:00:00Z,7:02:24,8
014-000000048,1136,14,Department of State,Security/Cyber Security Services,2999,,Red Switch Program,"Uses now-current technology to provide a single, integrated application that satisfies the current and future requirements of the annuitants and facilitates the work of the financial and personnel staff.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1213,0,0,Balanced schedule,0,Balanced budget,0,1.213,1.213,2012-05-31T00:00:00Z,7:02:24,9
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3000,,Role-Based Cyber Security Training,"This program provides role-based, instructor-led cyber security training to USG personnel and fulfills legal, Presidential and Department requirements.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,5001,0,0,Balanced schedule,0,Balanced budget,0,5.001,5.001,2012-05-31T00:00:00Z,7:02:24,10
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3001,,Secure Voice,Required for classified voice and data communications. NSA has identified the Sectera vIPer phone as the replacement unit for Secure Terminal Equipment (STE). The Sectera vIPer phone is a secure voice device designed to encrypt voice and data.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8606,0,0,Balanced schedule,0,Balanced budget,0,8.606,8.606,2012-05-31T00:00:00Z,7:02:24,11
014-000000048,1136,14,Department of State,Security/Cyber Security Services,3002,,Technical Security and Safeguards,TSS provides vital defensive technical security solutions critical to hardware security and infrastructure.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,7179,0,0,Balanced schedule,0,Balanced budget,0,7.179,7.179,2012-05-31T00:00:00Z,7:02:24,12
014-000000043,1137,14,Department of State,Enterprise Network and Bandwidth Services,3032,,EMS Projects,"The EMS Projects initiative develops and deploys network and systems tools to maximize the efficiency of the enterprise network across the Department. For FY13 the scope of work includes: NeuralStar Deployment, Upgrading OpenNet to SCCM 2007 Release 3, Upgrading ClassNet to SCCM 2007 and providing engineering support for the Project Services Office Automated Password Reset project.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,1.723225,0,0,Balanced schedule,0,Balanced budget,0,1.723225,1.723225,2012-05-30T00:00:00Z,8:43:12,11811
014-000000043,1137,14,Department of State,Enterprise Network and Bandwidth Services,3038,,Network Design Projects,"The EMS Projects initiative is to utilize commercial-style technologies, employ best-of-breed techniques to evolve and optimize the Department's global enterprise network so that it can cost-effectively support the needs of classified and unclassified users today and in the future. This mission includes the following goal areas: Network Infrastructure, Bandwidth Utilization, Network Optimization, Quality of Service, System Security, Infrastructure Redundancy, Disaster Recovery.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-29T00:00:00Z,2012-09-30T00:00:00Z,22.896826,-1,-0.27,Under schedule,1.285681,Excess budget,12.64,10.170897,8.885216,2012-05-30T00:00:00Z,8:43:12,13811
015-000000046,498,15,Department of the Treasury,Account Management Services (AMS),720,38,Account Management Services (AMS),"AMS delivers improved customer support by leveraging legacy systems to Customer Service Representatives (CSRs), Tax Examiners (TEs)and others with the tools to access information quickly and accurately in response to complex customer inquiries.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,20.87,0,0,Balanced schedule,0.967725,Excess budget,5.43,17.827732,16.860007,2012-07-20T00:00:00Z,9:43:10,2447
015-000000034,500,15,Department of the Treasury,Automated Standard Application for Payments (ASAP),1142,20,Automated Standard Application for Payments (ASAP),"Consistent with FMS and Treasury missions, ASAP is a recipient-initiated electronic payment and information system used to make: federal grant payments, reimbursements to financial agents, and EBT disbursements to states.  ASAP is executing its selected alternative (AA/CBA 3/2010) migrating the mainframe backend on the FRIT platform to TWAI distributed platform and implementing mandated enterprise architecture (EA) enhancements and infrastructure upgrades.ASAP is the Department of Treasury's sole solution for recipient-initiated payments and is not planned for replacement.",1998-01-10T00:00:00Z,2021-09-30T00:00:00Z,8663,Processing,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,73.582,0,0,Balanced schedule,-0.463,Under budget,-4.27,10.832,11.295,2012-02-07T00:00:00Z,9:05:20,1
015-000000066,503,15,Department of the Treasury,"Treasury Enterprise Identity, Credential and Access Management (TEICAM)",540,264,PIV Data Synchronization Project,"This project consolidates data sources such as HR Connect, USAccess, and TEDS associated with getting a PIV card in order to streamline the process to get the cards faster and also to terminate separated cardholder's records faster realizing both cost savings and security benefits.",2011-01-03T00:00:00Z,2013-09-30T00:00:00Z,1000,Completed,,,12,0,0,Balanced schedule,0,Balanced budget,0,5.422745,5.422745,2012-07-25T00:00:00Z,8:28:24,PDS-001
015-000000066,503,15,Department of the Treasury,"Treasury Enterprise Identity, Credential and Access Management (TEICAM)",3237,1446,PACS Rollout,"Physical Access roll out project includes upgrading building access systems, centralized provisioning automated capabilities, business rules for provisioning internal and external users and upgrading legacy systems.",2011-01-10T00:00:00Z,2016-09-30T00:00:00Z,2089,Processing,,,66.263938,0,0,Balanced schedule,0,Balanced budget,0,31.313438,31.313438,2012-07-25T00:00:00Z,8:28:24,PACS-001
015-000000066,503,15,Department of the Treasury,"Treasury Enterprise Identity, Credential and Access Management (TEICAM)",3239,1561,LACS PIV Enabled Access,"Upgrade logical access systems, centralized provisioning, automate capabilities, business rules for provisioning internal and external users and upgrade legacy system.",2011-01-10T00:00:00Z,2015-09-30T00:00:00Z,1723,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,59.886645,0,0,Balanced schedule,0,Balanced budget,0,16.636132,16.636132,2012-07-25T00:00:00Z,8:28:24,LACS-001
015-000000051,506,15,Department of the Treasury,Customer Account Data Engine 2 (CADE 2).,719,2,Transition State 1,Transition State 1 (TS1) delivers a single source of authoritative individual core taxpayer data in a relational database and provides daily processing of taxpayer accounts.,2009-01-10T00:00:00Z,2012-09-30T00:00:00Z,1358,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,357.336,0,0,Balanced schedule,-0.8,Under budget,-0.52,152.79,153.59,2012-05-31T00:00:00Z,6:33:51,1
015-000000036,509,15,Department of the Treasury,Deposit and Data Management (DDM),677,49,TRS Data Warehouse/Data Marts,"This project involves the implementation of the TRS Data Warehouse and Data Marts to retrieve reports and other data from the system, including the Total Collections Report.",2009-01-10T00:00:00Z,2011-09-30T00:00:00Z,992,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,5.117,0,0,Balanced schedule,-4.113,Under budget,-80.38,5.117,9.23,2012-06-01T00:00:00Z,8:32:26,1
015-000000036,509,15,Department of the Treasury,Deposit and Data Management (DDM),2733,50,TRS Trading Partners Integration (Phase III),"This project involves boarding OTCnet, Stored Value Card and TCMS to TRS.",2009-01-10T00:00:00Z,2011-09-30T00:00:00Z,992,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,3.06,0,0,Balanced schedule,-2.926,Under budget,-95.62,3.06,5.986,2012-01-17T00:00:00Z,9:59:14,2
015-000000036,509,15,Department of the Treasury,Deposit and Data Management (DDM),2881,856,CA$HLINK II Decommissioning,CA$HLINK II Decommissioning Activities.,2011-01-10T00:00:00Z,2013-09-30T00:00:00Z,993,Completed,,,6.866,0,0,Balanced schedule,0.438332,Excess budget,6.38,6.866,6.427668,2012-06-29T00:00:00Z,6:32:23,3
015-000000026,514,15,Department of the Treasury,FedDebt,1143,161,2012 O&M Support,The operation and maintenance of the FMS systems which collect and resolve delinquent debt owed to government agencies.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8.798,0,0,Balanced schedule,-0.016876,Under budget,-0.19,8.7868,8.803676,2012-05-31T00:00:00Z,6:33:22,1
015-000000026,514,15,Department of the Treasury,FedDebt,2749,162,2012 Process and Technology Improvements,The projects that support the FMS systems which collect and resolve delinquent debt owed to government agencies.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,5.178,0,0,Balanced schedule,-0.058866,Under budget,-1.14,5.177,5.235866,2012-06-29T00:00:00Z,6:32:18,2
015-000000026,514,15,Department of the Treasury,FedDebt,2750,163,2012 Project Management,"The principal responsibilities of the project manager on an agile project is to remove roadblocks to team progress, to facilitate team interaction, and to ensure that the team remains focused on the right things.  Roadblocks may include things like resource issues, business representative availability, or other issues that arise that block progress.  The project manager also manages the financial and reporting aspects of the project, communicating with governance bodies, and coordinating with higher management.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.661,0,0,Balanced schedule,-0.006703,Under budget,-0.41,1.653,1.659703,2012-05-31T00:00:00Z,6:33:22,3
015-000000039,519,15,Department of the Treasury,FMS EFTPS (Electronic Federal Tax Payment System),1144,80,AS400 to Unix,Replace the front end architecture from AS400 to Unix.,2008-08-09T00:00:00Z,2012-05-18T00:00:00Z,1378,Completed,2012-05-18T00:00:00Z,2012-05-18T00:00:00Z,1.926,0,0,Balanced schedule,0.131178,Excess budget,14.58,0.9,0.768822,2012-07-30T00:00:00Z,6:58:18,3694
015-000000039,519,15,Department of the Treasury,FMS EFTPS (Electronic Federal Tax Payment System),2795,81,Data Exchange Rewrite Phase 3 (remaining functionality),"Replace the existing architecture that supports the file transfers between State Levy, insolvency, and Single Debit originators.  Phase 3 will to move to UNIX.",2008-08-23T00:00:00Z,2012-05-18T00:00:00Z,1364,Completed,2012-05-18T00:00:00Z,2012-05-18T00:00:00Z,2.82,0,0,Balanced schedule,0.179666,Excess budget,19.96,0.9,0.720334,2012-07-30T00:00:00Z,6:58:18,3515
015-000000014,524,15,Department of the Treasury,Individual Master File (IMF),530,140,IMFOUT,"IMF Output analyzes, reformats and extracts taxpayer data received from IMF Posting & Analysis processing to Refunds, Notices, Transcripts, Unpostables, Recap and IDRS processing.  The Refund data is sent to Austin Regional Operating Center (AROC); Notice data is passed to NRPS processing; Transcripts are sent to the Service Centers for printing; Recap reports are sent to the Service Centers; and data extracted for IDRS is sent to the Service Centers.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.925,0,0,Balanced schedule,0.153123,Excess budget,7.95,1.925,1.771877,2012-05-31T00:00:00Z,6:33:15,2163
015-000000014,524,15,Department of the Treasury,Individual Master File (IMF),"2,764",143,IMFOL,"IMFOL is the Individual Master File On-Line project.  IMFOL is part of the Corporate Files ON-Line (CFOL) system and is used primarily to display tax account information on individual taxpayers to IDRS users.  The database and software provide interfaces to other projects such as ENTCK, National Account Profile/On-Line Entity (NAP/OLE), and Telephone Routing Interactive System (TRIS).  The system is hosted on ECC-MTB's IBM mainframe computer using Customer Information Control System (CICS) as a transaction processor.  The database structure for IMFOL is through the Integrated Data Retrieval System/Security and Communications System (IDRS/SACS) telecommunication and security network. All IMFO programs are written in Assembler Language, COBOL, CICS and execute on the IBM Mainframe at ECC-MTB.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.84,0,0,Balanced schedule,0.048537,Excess budget,5.78,0.84,0.791463,2012-05-31T00:00:00Z,6:33:15,2162
015-000000014,524,15,Department of the Treasury,Individual Master File (IMF),2765,142,IMFPOST,"IMF Posting posts transactions for 1040 filers, reconcile debits and credits, update status, compute and assess/abate penalties and interest.  IMF Analysis programs analyze individual accounts, performs issue detection, and analyze for subsequent action, notices, refunds, etc.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,3.095,0,0,Balanced schedule,0.949445,Excess budget,30.68,3.095,2.145555,2012-05-31T00:00:00Z,6:33:15,2164
015-000000014,524,15,Department of the Treasury,Individual Master File (IMF),2766,139,IMFPRE,"IMF Pre-Posting project reformats tax forms and transactions, and performs preliminary checks and validation, before passing them to the IMF.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.899,0,0,Balanced schedule,-0.025857,Under budget,-1.36,1.899,1.924857,2012-05-31T00:00:00Z,6:33:15,2165
015-000000014,524,15,Department of the Treasury,Individual Master File (IMF),2767,144,IMFDIF,IMFDIF is a mathematical technique used to pre-classify and identify a return's high audit potential.  All individual returns are DIF scored but only those above the cut-off are placed onto inventories and made available to Examination field personnel for selection.  Returns can either be selected specifically via a TC424 or bulk ordered via an ordering system.  These accounts provide significant workload for field Examination personnel.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.429,0,0,Balanced schedule,0.026144,Excess budget,6.09,0.429,0.402856,2012-05-31T00:00:00Z,6:33:15,2160
015-000000017,526,15,Department of the Treasury,Integrated Customer Communication Environment (ICCE),535,46,FSA FY12,"The Federal Student Aid &ndash; Datashare (FSA-D) is an English and Spanish web based application which provides taxpayers completing the Free Application For Student Aid (FAFSA) through the Department of Education&rsquo;s (ED)&rsquo;s FAFSA On The Web (FOTW) with access to relevant tax data from their filed individual Federal tax return. FOTW provides the sole means of taxpayer access to the FSA-D. The FSA-D delivers to an authenticated taxpayer&rsquo;s web browser his or her relevant federal tax information in real time.  In addition, implement Income Based-Repayment (IBR) Status functionality for FSA.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,1.089368,0,0,Balanced schedule,0.2732,Excess budget,25.08,1.089368,0.816168,2012-08-28T00:00:00Z,6:45:28,111
